0,1,2,3,4
13,,Eddie Irvine,Jaguar,2001 Spanish Grand Prix
14,,Luciano Burti,Prost,2001 Spanish Grand Prix
15,,Jean Alesi,Prost,2001 Spanish Grand Prix
16,,Enrique Bernoldi,Arrows,2001 Spanish Grand Prix
17,,Jos Verstappen,Arrows,2001 Spanish Grand Prix
18,,Fernando Alonso,Minardi,2001 Spanish Grand Prix
19,,Giancarlo Fisichella,Benetton,2001 Spanish Grand Prix
20,,Pedro de la Rosa,Jaguar,2001 Spanish Grand Prix
21,,Jenson Button,Benetton,2001 Spanish Grand Prix
22,,Tarso Marques,Minardi,2001 Spanish Grand Prix
1,,Michael Schumacher,Ferrari,2001 Austrian Grand Prix
2,,Juan Pablo Montoya,Williams,2001 Austrian Grand Prix
3,,Ralf Schumacher,Williams,2001 Austrian Grand Prix
4,,Rubens Barrichello,Ferrari,2001 Austrian Grand Prix
5,,Jarno Trulli,Jordan,2001 Austrian Grand Prix
6,,Nick Heidfeld,Sauber,2001 Austrian Grand Prix
7,,David Coulthard,McLaren,2001 Austrian Grand Prix
8,,Mika Häkkinen,McLaren,2001 Austrian Grand Prix
9,,Kimi Räikkönen,Sauber,2001 Austrian Grand Prix
10,,Olivier Panis,BAR,2001 Austrian Grand Prix
11,,Heinz-Harald Frentzen,Jordan,2001 Austrian Grand Prix
12,,Jacques Villeneuve,BAR,2001 Austrian Grand Prix
13,,Eddie Irvine,Jaguar,2001 Austrian Grand Prix
14,,Pedro de la Rosa,Jaguar,2001 Austrian Grand Prix
15,,Enrique Bernoldi,Arrows,2001 Austrian Grand Prix
16,,Jos Verstappen,Arrows,2001 Austrian Grand Prix
17,,Luciano Burti,Prost,2001 Austrian Grand Prix
18,,Fernando Alonso,Minardi,2001 Austrian Grand Prix
19,,Giancarlo Fisichella,Benetton,2001 Austrian Grand Prix
20,,Jean Alesi,Prost,2001 Austrian Grand Prix
21,,Jenson Button,Benetton,2001 Austrian Grand Prix
22,,Tarso Marques,Minardi,2001 Austrian Grand Prix
1,,David Coulthard,McLaren,2001 Monaco Grand Prix
2,,Michael Schumacher,Ferrari,2001 Monaco Grand Prix
3,,Mika Häkkinen,McLaren,2001 Monaco Grand Prix
4,,Rubens Barrichello,Ferrari,2001 Monaco Grand Prix
5,,Ralf Schumacher,Williams,2001 Monaco Grand Prix
6,,Eddie Irvine,Jaguar,2001 Monaco Grand Prix
7,,Juan Pablo Montoya,Williams,2001 Monaco Grand Prix
8,,Jarno Trulli,Jordan,2001 Monaco Grand Prix
9,,Jacques Villeneuve,BAR,2001 Monaco Grand Prix
10,,Giancarlo Fisichella,Benetton,2001 Monaco Grand Prix
11,,Jean Alesi,Prost,2001 Monaco Grand Prix
12,,Olivier Panis,BAR,2001 Monaco Grand Prix
13,,Heinz-Harald Frentzen,Jordan,2001 Monaco Grand Prix
14,,Pedro de la Rosa,Jaguar,2001 Monaco Grand Prix
15,,Kimi Räikkönen,Sauber,2001 Monaco Grand Prix
16,,Nick Heidfeld,Sauber,2001 Monaco Grand Prix
17,,Jenson Button,Benetton,2001 Monaco Grand Prix
18,,Fernando Alonso,Minardi,2001 Monaco Grand Prix
19,,Jos Verstappen,Arrows,2001 Monaco Grand Prix
20,,Enrique Bernoldi,Arrows,2001 Monaco Grand Prix
21,,Luciano Burti,Prost,2001 Monaco Grand Prix
22,,Tarso Marques,Minardi,2001 Monaco Grand Prix
1,,Michael Schumacher,Ferrari,2001 Canadian Grand Prix
2,,Ralf Schumacher,Williams,2001 Canadian Grand Prix
3,,David Coulthard,McLaren,2001 Canadian Grand Prix
4,,Jarno Trulli,Jordan,2001 Canadian Grand Prix
5,,Rubens Barrichello,Ferrari,2001 Canadian Grand Prix
6,,Olivier Panis,BAR,2001 Canadian Grand Prix
7,,Kimi Räikkönen,Sauber,2001 Canadian Grand Prix
8,,Mika Häkkinen,McLaren,2001 Canadian Grand Prix
9,,Jacques Villeneuve,BAR,2001 Canadian Grand Prix
10,,Juan Pablo Montoya,Williams,2001 Canadian Grand Prix
11,,Nick Heidfeld,Sauber,2001 Canadian Grand Prix
12,,Ricardo Zonta,Jordan,2001 Canadian Grand Prix
13,,Jos Verstappen,Arrows,2001 Canadian Grand Prix
14,,Pedro de la Rosa,Jaguar,2001 Canadian Grand Prix
15,,Eddie Irvine,Jaguar,2001 Canadian Grand Prix
16,,Jean Alesi,Prost,2001 Canadian Grand Prix
17,,Enrique Bernoldi,Arrows,2001 Canadian Grand Prix
18,,Giancarlo Fisichella,Benetton,2001 Canadian Grand Prix
19,,Luciano Burti,Prost,2001 Canadian Grand Prix
20,,Jenson Button,Benetton,2001 Canadian Grand Prix
21,,Tarso Marques,Minardi,2001 Canadian Grand Prix
22,,Fernando Alonso,Minardi,2001 Canadian Grand Prix
1,,Michael Schumacher,Ferrari,2001 European Grand Prix
2,,Ralf Schumacher,Williams,2001 European Grand Prix
3,,Juan Pablo Montoya,Williams,2001 European Grand Prix
4,,Rubens Barrichello,Ferrari,2001 European Grand Prix
5,,David Coulthard,McLaren,2001 European Grand Prix
6,,Mika Häkkinen,McLaren,2001 European Grand Prix
7,,Jarno Trulli,Jordan,2001 European Grand Prix
8,,Heinz-Harald Frentzen,Jordan,2001 European Grand Prix
9,,Kimi Räikkönen,Sauber,2001 European Grand Prix
10,,Nick Heidfeld,Sauber,2001 European Grand Prix
11,,Jacques Villeneuve,BAR,2001 European Grand Prix
12,,Eddie Irvine,Jaguar,2001 European Grand Prix
13,,Olivier Panis,BAR,2001 European Grand Prix
14,,Jean Alesi,Prost,2001 European Grand Prix
15,,Giancarlo Fisichella,Benetton,2001 European Grand Prix
16,,Pedro de la Rosa,Jaguar,2001 European Grand Prix
17,,Luciano Burti,Prost,2001 European Grand Prix
18,,Enrique Bernoldi,Arrows,2001 European Grand Prix
19,,Jos Verstappen,Arrows,2001 European Grand Prix
20,,Jenson Button,Benetton,2001 European Grand Prix
21,,Fernando Alonso,Minardi,2001 European Grand Prix
22,,Tarso Marques,Minardi,2001 European Grand Prix
1,,Ralf Schumacher,Williams,2001 French Grand Prix
2,,Michael Schumacher,Ferrari,2001 French Grand Prix
3,,David Coulthard,McLaren,2001 French Grand Prix
4,,Mika Häkkinen,McLaren,2001 French Grand Prix
5,,Jarno Trulli,Jordan,2001 French Grand Prix
6,,Juan Pablo Montoya,Williams,2001 French Grand Prix
7,,Heinz-Harald Frentzen,Jordan,2001 French Grand Prix
8,,Rubens Barrichello,Ferrari,2001 French Grand Prix
9,,Nick Heidfeld,Sauber,2001 French Grand Prix
10,,Jacques Villeneuve,BAR,2001 French Grand Prix
11,,Olivier Panis,BAR,2001 French Grand Prix
12,,Eddie Irvine,Jaguar,2001 French Grand Prix
13,,Kimi Räikkönen,Sauber,2001 French Grand Prix
14,,Pedro de la Rosa,Jaguar,2001 French Grand Prix
15,,Luciano Burti,Prost,2001 French Grand Prix
16,,Giancarlo Fisichella,Benetton,2001 French Grand Prix
17,,Jenson Button,Benetton,2001 French Grand Prix
18,,Jos Verstappen,Arrows,2001 French Grand Prix
19,,Jean Alesi,Prost,2001 French Grand Prix
20,,Enrique Bernoldi,Arrows,2001 French Grand Prix
21,,Fernando Alonso,Minardi,2001 French Grand Prix
22,,Tarso Marques,Minardi,2001 French Grand Prix
1,,Michael Schumacher,Ferrari,2001 British Grand Prix
2,,Mika Häkkinen,McLaren,2001 British Grand Prix
3,,David Coulthard,McLaren,2001 British Grand Prix
4,,Jarno Trulli,Jordan,2001 British Grand Prix
5,,Heinz-Harald Frentzen,Jordan,2001 British Grand Prix
6,,Rubens Barrichello,Ferrari,2001 British Grand Prix
7,,Kimi Räikkönen,Sauber,2001 British Grand Prix
8,,Juan Pablo Montoya,Williams,2001 British Grand Prix
9,,Nick Heidfeld,Sauber,2001 British Grand Prix
10,,Ralf Schumacher,Williams,2001 British Grand Prix
11,,Olivier Panis,BAR,2001 British Grand Prix
12,,Jacques Villeneuve,BAR,2001 British Grand Prix
13,,Pedro de la Rosa,Jaguar,2001 British Grand Prix
14,,Jean Alesi,Prost,2001 British Grand Prix
15,,Eddie Irvine,Jaguar,2001 British Grand Prix
16,,Luciano Burti,Prost,2001 British Grand Prix
17,,Jos Verstappen,Arrows,2001 British Grand Prix
18,,Jenson Button,Benetton,2001 British Grand Prix
19,,Giancarlo Fisichella,Benetton,2001 British Grand Prix
20,,Enrique Bernoldi,Arrows,2001 British Grand Prix
21,,Fernando Alonso,Minardi,2001 British Grand Prix
1,,Juan Pablo Montoya,Williams,2001 German Grand Prix
2,,Ralf Schumacher,Williams,2001 German Grand Prix
3,,Mika Häkkinen,McLaren,2001 German Grand Prix
4,,Michael Schumacher,Ferrari,2001 German Grand Prix
5,,David Coulthard,McLaren,2001 German Grand Prix
6,,Rubens Barrichello,Ferrari,2001 German Grand Prix
7,,Nick Heidfeld,Sauber,2001 German Grand Prix
8,,Kimi Räikkönen,Sauber,2001 German Grand Prix
9,,Pedro de la Rosa,Jaguar,2001 German Grand Prix
10,,Jarno Trulli,Jordan,2001 German Grand Prix
11,,Eddie Irvine,Jaguar,2001 German Grand Prix
12,,Jacques Villeneuve,BAR,2001 German Grand Prix
13,,Olivier Panis,BAR,2001 German Grand Prix
14,,Jean Alesi,Prost,2001 German Grand Prix
15,,Ricardo Zonta,Jordan,2001 German Grand Prix
16,,Luciano Burti,Prost,2001 German Grand Prix
17,,Giancarlo Fisichella,Benetton,2001 German Grand Prix
